Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_4_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_13_j_A,X_19_j_A,X_24_j_A,X_92_j_A,X_1_j_B,X_3_j_B,X_5_j_B,X_6_j_B,X_11_j_B,X_13_j_B,X_15_j_B,X_17_j_B,X_22_j_B,X_26_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,21,23,Q1,02:06,Andrew Nembhard,3pt jump shot from center made,1926,19,A,CAN,1,0,17.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,21,23,Q1,02:06,Jamal Murray,made the assist,1926,4,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,21,23,Q1,01:53,Jamal Murray,defensive rebound,1913,4,A,CAN,1,0,13.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,21,23,Q1,01:53,Will Magnay,2pt hook shot missed,1913,22,B,AUS,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:37,Dillon Brooks,2pt hook shot made,1897,24,A,CAN,1,0,16.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:37,Trey Lyles,made the assist,1897,8,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:31,Dillon Brooks,personal foul,1891,24,A,CAN,1,0,6.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:31,Dillon Brooks,foul drawn,1891,24,A,CAN,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Josh Giddey,foul drawn,1891,3,B,AUS,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Josh Giddey,personal foul,1891,3,B,AUS,1,0,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_34.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_34--competition_208722,23,23,Q1,01:31,Dillon Brooks,Substitution out,1891,24,A,CAN,1,1,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_16.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_16--competition_208722,23,23,Q1,01:31,Jack McVeigh,Substitution out,1891,17,B,AUS,1,1,0.0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
