,Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_0_j_A,X_1_j_A,X_2_j_A,X_3_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_23_j_A,X_24_j_A,X_2_j_B,X_6_j_B,X_8_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_14_j_B,X_32_j_B,X_50_j_B,X_99_j_B
184,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,32,27,Q2,3:02,13,Kelly Olynyk,1st of 2 free throws made,1382.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
185,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,33,27,Q2,3:02,13,Kelly Olynyk,2nd of 2 free throws made,1382.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
186,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,35,27,Q2,2:52,,,Timeout,1372.0,2,10.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
187,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,35,27,Q2,2:52,2,Shai Gilgeous-Alexander,2pt pullup jump shot made,1372.0,2,0.0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
188,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,35,27,Q2,2:52,50,Bruno Caboclo,Substitution out,1372.0,2,0.0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1
189,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,35,27,Q2,2:52,6,Cristiano Felicio,Substitution in,1372.0,2,0.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
190,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,35,27,Q2,2:28,7,Dwight Powell,defensive rebound,1348.0,2,24.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
191,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,35,27,Q2,2:28,14,Leonardo Meindl,3pt pullup jump shot missed,1348.0,2,0.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
192,CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,2:14,2,Shai Gilgeous-Alexander,layup made,1334.0,2,14.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
193,BRA,https://www.fiba.basketball/api/img/team/logoflag/27?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,37,27,Q2,1:53,8,Vítor Benite,3pt jump shot missed,1313.0,2,21.0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
