Quarter,Clock,Player,Team,Action,TeamLineup,OpponentLineup,Points,OPPpoints,FGA,OPPFGA,FTA,OPPFTA,oREB,OPPoREB,dREB,OPPdREB,TOV,OPPTOV
1,03:51:00,Shai GILGEOUS-ALEXANDER,CAN,Free Throw made 1 of 2 (5 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:51:00,Nickeil ALEXANDER-WALKER,CAN,Assist (5),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:51:00,Shai GILGEOUS-ALEXANDER,CAN,Free Throw made 2 of 2 (6 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:29:00,Karim Raphael EZZEDINE,LBN,"2PtsFG inside paint, Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:29:00,Shai GILGEOUS-ALEXANDER,CAN,Defensive rebound (3),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:21:00,Shai GILGEOUS-ALEXANDER,CAN,"Turnover, Bad pass (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:21:00,Karim Raphael EZZEDINE,LBN,Steal (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:05:00,Karim ZEINOUN,LBN,"2PtsFG inside paint, Pullup Jump Shot made (2 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,03:05:00,Wael ARAKJI,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:48:00,RJ BARRETT,CAN,"Turnover, Bad pass (2)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:48:00,Ali HAIDAR,LBN,Steal (2),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:31:00,Ali HAIDAR,LBN,"2PtsFG inside paint, Layup made (6 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:31:00,Omari Rasulala SPELLMAN,LBN,Assist (1),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:20:00,Shai GILGEOUS-ALEXANDER,CAN,"2PtsFG inside paint, Jump Shot made (8 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:20:00,Kelly OLYNYK,CAN,Assist (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:04:00,Karim Raphael EZZEDINE,LBN,3PtsFG missed,,,0,0,0,0,0,0,0,0,0,0,0,0
1,02:04:00,Shai GILGEOUS-ALEXANDER,CAN,Defensive rebound (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:56:00,RJ BARRETT,CAN,"2PtsFG inside paint, Layup missed",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:56:00,Kelly OLYNYK,CAN,Offensive rebound (4),,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:50:00,Kelly OLYNYK,CAN,"2PtsFG inside paint, Putback Tip-in made (4 Pts)",,,0,0,0,0,0,0,0,0,0,0,0,0
1,01:44:00,Karim ZEINOUN,LBN,3PtsFG made (5 Pts),,,0,0,0,0,0,0,0,0,0,0,0,0
