Team,Team_Flag_Src,Score_A,Score_B,Period,Time,Number,Player,Action_Description,Total_Seconds,quarter,time_elapsed,X_4_j_A,X_5_j_A,X_6_j_A,X_9_j_A,X_10_j_A,X_11_j_A,X_12_j_A,X_14_j_A,X_15_j_A,X_0_j_B,X_1_j_B,X_2_j_B,X_3_j_B,X_7_j_B,X_9_j_B,X_13_j_B,X_15_j_B,X_23_j_B,X_24_j_B
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,79,Q3,4:02,1,Nickeil Alexander-Walker,2nd of 2 free throws made,1142.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,79,Q3,3:49,24,Dillon Brooks,3pt jump shot missed,1129.0,3,13.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,79,Q3,3:49,10,Anthony Edwards,defensive rebound,1129.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,79,Q3,3:38,13,Kelly Olynyk,personal foul; 2 free throws awarded,1118.0,3,11.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,79,Q3,3:38,10,Anthony Edwards,foul drawn,1118.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,73,79,Q3,3:38,10,Anthony Edwards,1st of 2 free throws missed,1118.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,74,79,Q3,3:38,10,Anthony Edwards,2nd of 2 free throws made,1118.0,3,0.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,74,81,Q3,3:20,9,RJ Barrett,2pt floating jump shot made,1100.0,3,18.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
USA,https://www.fiba.basketball/api/img/team/logoflag/154?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,76,81,Q3,3:02,10,Anthony Edwards,2pt fadeaway jump shot made,1082.0,3,18.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
CAN,https://www.fiba.basketball/api/img/team/logoflag/34?sizeType=Big&backgroundType=Light&patternType=default_big&eventId=208182,76,84,Q3,2:47,13,Kelly Olynyk,3pt jump shot from center made,1067.0,3,15.0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
