Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_2_j_A,X_4_j_A,X_5_j_A,X_6_j_A,X_7_j_A,X_8_j_A,X_9_j_A,X_10_j_A,X_14_j_A,X_16_j_A,X_21_j_A,X_23_j_A,X_0_j_B,X_5_j_B,X_7_j_B,X_8_j_B,X_11_j_B,X_14_j_B,X_15_j_B,X_16_j_B,X_34_j_B,X_44_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,80,77,Q4,00:24,Giannis Antetokounmpo,3pt pullup jump shot missed,24,34,B,GRE,4,0,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,80,77,Q4,00:21,,Timeout,21,,,,4,0,3.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,82,77,Q4,00:21,Willy Hernangomez,2nd of 2 free throws made,21,14,A,ESP,4,0,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,81,77,Q4,00:21,Willy Hernangomez,1st of 2 free throws made,21,14,A,ESP,4,0,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,80,77,Q4,00:21,Willy Hernangomez,foul drawn,21,14,A,ESP,4,0,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,80,77,Q4,00:21,Georgios Papagiannis,personal foul; 2 free throws awarded,21,14,B,GRE,4,0,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,80,77,Q4,00:21,Lorenzo Brown,Substitution out,21,2,A,ESP,4,1,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,82,77,Q4,00:21,Willy Hernangomez,Substitution out,21,14,A,ESP,4,1,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,80,77,Q4,00:21,Panagiotis Kalaitzakis,Substitution out,21,11,B,GRE,4,1,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,80,77,Q4,00:21,Alberto Diaz,Substitution in,21,9,A,ESP,4,2,0.0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,82,77,Q4,00:21,Jaime Pradilla,Substitution in,21,4,A,ESP,4,2,0.0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,80,77,Q4,00:21,Giannoulis Larentzakis,Substitution in,21,5,B,GRE,4,2,0.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,82,77,Q4,00:06,Santi Aldama,defensive rebound,6,7,A,ESP,4,0,15.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_67.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_67--competition_208722,82,77,Q4,00:06,Giannoulis Larentzakis,3pt jump shot missed,6,5,B,GRE,4,0,0.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
,65,61,Q4,00:00,,End of quarter,0,,,,4,0,6.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,84,77,Q4,00:00,Alberto Diaz,2pt floating jump shot made,0,9,A,ESP,4,0,0.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_138.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_138--competition_208722,84,77,Q4,00:00,Sergio Llull,made the assist,0,23,A,ESP,4,0,0.0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
