Team_Flag_Src,Score_A,Score_B,Period,Time,Player,Action_Description,Total_Seconds,Number,Team_side,Team,quarter,subst_flag,time_elapsed,X_3_j_A,X_5_j_A,X_7_j_A,X_9_j_A,X_13_j_A,X_15_j_A,X_22_j_A,X_23_j_A,X_27_j_A,X_30_j_A,X_33_j_A,X_4_j_B,X_5_j_B,X_6_j_B,X_7_j_B,X_9_j_B,X_10_j_B,X_11_j_B,X_13_j_B,X_14_j_B
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,13,Q1,03:46,Nikola Jokic,1st of 2 free throws made,2026,15,A,SRB,1,0,18.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,13,Q1,03:46,Nikola Jokic,2nd of 2 free throws missed,2026,15,A,SRB,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,15,13,Q1,03:46,Aleksa Avramovic,made the assist,2026,30,A,SRB,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,13,Q1,03:46,Nikola Jokic,foul drawn,2026,15,A,SRB,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,15,13,Q1,03:46,Nuni Omot,defensive rebound,2026,5,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_9716.webp/w_40/f_auto/q_auto/.logoflag--light--organisation_9716--competition_208722,14,13,Q1,03:46,Wenyen Gabriel,personal foul; 2 free throws awarded,2026,9,B,SSD,1,0,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,13,Q1,03:46,Aleksa Avramovic,Substitution out,2026,30,A,SRB,1,1,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,13,Q1,03:46,Vanja Marinkovic,Substitution out,2026,9,A,SRB,1,1,0.0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,13,Q1,03:46,Marko Guduric,Substitution in,2026,23,A,SRB,1,2,0.0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
https://assets.fiba.basketball/image/upload/d_.logoflag--light--organisation_8323.webp/w_64/f_auto/q_auto/.logoflag--light--organisation_8323--competition_208722,14,13,Q1,03:46,Vasilije Micic,Substitution in,2026,22,A,SRB,1,2,0.0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
